iter	Logloss
0	0.6874424066
1	0.6831872838
2	0.6794028058
3	0.6757480382
4	0.6715754905
5	0.6679867953
6	0.6650228499
7	0.6616170042
8	0.6591952788
9	0.6562214345
10	0.6534052832
11	0.6505140722
12	0.6470952496
13	0.6448858247
14	0.6427472882
15	0.6401111789
16	0.637341962
17	0.6348681378
18	0.6328428391
19	0.6307720716
20	0.6290156082
21	0.6265909574
22	0.6242096664
23	0.6212197901
24	0.619251646
25	0.6174504558
26	0.6154666055
27	0.6141988479
28	0.6123525181
29	0.6102580487
30	0.6083247563
31	0.6073283392
32	0.6057108541
33	0.604159942
34	0.6032471324
35	0.6012125789
36	0.5991816119
37	0.5976462884
38	0.5968319423
39	0.5957309454
40	0.5938455774
41	0.5927495648
42	0.5916284972
43	0.5906782098
44	0.5897678966
45	0.5880785628
46	0.5862537523
47	0.5847536452
48	0.5840234847
49	0.5825129767
50	0.5813378167
51	0.580330018
52	0.5790790404
53	0.5780558329
54	0.5767198495
55	0.5747933203
56	0.5735992649
57	0.572744849
58	0.5719938737
59	0.5708378542
60	0.5698496283
61	0.5692486585
62	0.5683221033
63	0.5667291254
64	0.5658433226
65	0.5648324212
66	0.5639515538
67	0.5626332522
68	0.5614610086
69	0.5606314655
70	0.5593319124
71	0.5586635767
72	0.5577863063
73	0.5561436266
74	0.5550024376
75	0.5535806287
76	0.5523192714
77	0.5509613092
78	0.5501661908
79	0.5491940345
80	0.5477631143
81	0.5465415324
82	0.5448587941
83	0.5442497927
84	0.5425154239
85	0.5410096804
86	0.5398604273
87	0.5391184738
88	0.5384331184
89	0.5373426406
90	0.5359647051
91	0.5344646261
92	0.5334164179
93	0.5327498153
94	0.5314623439
95	0.5305266934
96	0.5296216927
97	0.5284563895
98	0.5274802798
99	0.5262176662
100	0.525136501
101	0.5239602814
102	0.5230903723
103	0.5222435895
104	0.5211546154
105	0.5198976673
106	0.5187709988
107	0.5177959494
108	0.516385061
109	0.5156508774
110	0.5147388003
111	0.5137415022
112	0.5130753596
113	0.5118912151
114	0.5108731033
115	0.5098597079
116	0.5090090549
117	0.5081115317
118	0.5071164025
119	0.5056448651
120	0.5049813362
121	0.5039288974
122	0.5028544956
123	0.5023529969
124	0.5019429153
125	0.5012194033
126	0.5002202557
127	0.4991764392
128	0.4982024499
129	0.4969973282
130	0.4965077711
131	0.4957558705
132	0.4944249602
133	0.493330723
134	0.4928147765
135	0.4923790461
136	0.4917062843
137	0.4905393586
138	0.490214648
139	0.4895679971
140	0.4885764427
141	0.4873353557
142	0.4867781873
143	0.4859381353
144	0.4845787465
145	0.4833696983
146	0.4823319301
147	0.481428321
148	0.4801170893
149	0.4786692969
150	0.477692898
151	0.4769444336
152	0.476451701
153	0.4754585402
154	0.4745051984
155	0.4734747264
156	0.4726407416
157	0.4717006542
158	0.4706415176
159	0.4691550376
160	0.468409306
161	0.4671986617
162	0.4666741292
163	0.4661235456
164	0.4654436298
165	0.4649070404
166	0.4642631469
167	0.46382128
168	0.4626156156
169	0.4618006578
170	0.4608438043
171	0.4597740839
172	0.4589665418
173	0.4582545497
174	0.4576559294
175	0.4570268909
176	0.4561209959
177	0.4552176096
178	0.4544959059
179	0.4532101107
180	0.4516980862
181	0.4503245802
182	0.4492302741
183	0.4485232463
184	0.4470919465
185	0.4465776585
186	0.4457551761
187	0.4451215239
188	0.4440364047
189	0.4428746191
190	0.441685636
191	0.4407824641
192	0.4397713806
193	0.4387167637
194	0.4380330028
195	0.437120783
196	0.4361489153
197	0.435189362
198	0.4341214956
199	0.4334386979
200	0.4327328021
201	0.4320336887
202	0.4310369764
203	0.4300218638
204	0.4291539823
205	0.4282146853
206	0.4270278298
207	0.4261516713
208	0.4256251443
209	0.4248512714
210	0.4239972175
211	0.422549622
212	0.4216530944
213	0.4206177293
214	0.4198100069
215	0.4187918655
216	0.4171010101
217	0.4165322102
218	0.4151703393
219	0.4142715575
220	0.4129513498
221	0.4119015497
222	0.4112967549
223	0.4098811833
224	0.4088296104
225	0.407463236
226	0.4067037363
227	0.4055911794
228	0.4048556704
229	0.4038392535
230	0.4028902716
231	0.4023614545
232	0.4015584043
233	0.4008104623
234	0.3999814507
235	0.3988705871
236	0.3978764096
237	0.3971858857
238	0.3958765663
239	0.3951361692
240	0.394375139
241	0.3935607713
242	0.3928887328
243	0.3921077633
244	0.391237612
245	0.3909383184
246	0.3898624446
247	0.3887243872
248	0.3872747323
249	0.3865819077
250	0.3861036266
251	0.3855282172
252	0.3846284296
253	0.3832910428
254	0.3821266722
255	0.3810892898
256	0.3803805817
257	0.3794646383
258	0.3789348285
259	0.3784290514
260	0.3768727622
261	0.3759672133
262	0.3749495824
263	0.3742500826
264	0.3734359353
265	0.3723956617
266	0.3715572594
267	0.3704873102
268	0.3692315104
269	0.3683005617
270	0.3675666767
271	0.3664071712
272	0.3655219893
273	0.3651118923
274	0.364584764
275	0.3634869063
276	0.3622773446
277	0.3612921297
278	0.3606612522
279	0.3596572534
280	0.3586996753
281	0.3580696392
282	0.3575994291
283	0.3568681301
284	0.3562207375
285	0.3549036101
286	0.3542293289
287	0.3535979968
288	0.3531133867
289	0.3526224317
290	0.3520034687
291	0.3509483773
292	0.3502391828
293	0.3493938003
294	0.3484884646
295	0.347551191
296	0.347012041
297	0.3465476582
298	0.3457669118
299	0.3450918984
